,Co_Code,Symbol,IdxStart_Date,IdxEnd_Date,StockChange,IndexChange,StkSDate,FirstClose,StkEDate,LastClose,Index,IndexDate,TypeTorB,IndexDaysDifference,IndexClose
107,92,BORORENEW,2025-03-04,2025-03-28,-8.38,7.67,2025-03-04,522.2,2025-03-28,478.45,NIFTY,2025-03-28,Top,24.0,23519.35
108,1250,VENKEYS,2006-06-14,2008-01-08,109.57,144.91,2006-07-03,73.77,2008-01-08,154.6,NIFTY,2008-01-08,Top,573.0,6287.85
109,1250,VENKEYS,2008-01-08,2008-10-27,-69.29,-64.56,2008-01-08,154.6,2008-10-27,47.47,NIFTY,2008-10-27,Bottom,293.0,2524.2
110,1250,VENKEYS,2008-10-27,2015-03-04,398.06,304.8,2008-10-27,47.47,2015-03-04,236.43,NIFTY,2015-03-04,Top,2319.0,8922.65
111,1250,VENKEYS,2015-03-04,2016-02-29,7.85,-25.15,2015-03-04,236.43,2016-02-29,255.0,NIFTY,2016-02-29,Bottom,362.0,6987.05
112,1250,VENKEYS,2016-02-29,2020-01-20,603.57,82.11,2016-02-29,255.0,2020-01-20,1794.1,NIFTY,2020-01-20,Top,1421.0,12224.55
113,1250,VENKEYS,2020-01-20,2020-03-24,-64.54,-39.58,2020-01-20,1794.1,2020-03-24,636.25,NIFTY,2020-03-24,Bottom,64.0,7801.05
114,1250,VENKEYS,2020-03-24,2024-09-27,210.66,249.85,2020-03-24,636.25,2024-09-27,1976.6,NIFTY,2024-09-27,Top,1648.0,26178.95
115,1250,VENKEYS,2024-09-27,2025-03-04,-17.28,-16.41,2024-09-27,1976.6,2025-03-04,1635.0,NIFTY,2025-03-04,Bottom,158.0,22082.65
116,1250,VENKEYS,2025-03-04,2025-03-28,-1.08,7.67,2025-03-04,1635.0,2025-03-28,1617.3,NIFTY,2025-03-28,Top,24.0,23519.35
117,135,DEEPAKFERT,1996-12-04,2000-02-23,-4.82,134.47,2000-01-03,21.14,2000-02-23,20.12,NIFTY,2000-02-23,Top,1176.0,1696.4
118,135,DEEPAKFERT,2000-02-23,2001-09-21,-29.62,-53.25,2000-02-23,20.12,2001-09-21,14.16,NIFTY,2001-09-21,Bottom,576.0,854.2
119,135,DEEPAKFERT,2001-09-21,2004-01-09,201.62,137.03,2001-09-21,14.16,2004-01-09,42.71,NIFTY,2004-01-09,Top,840.0,1971.9
120,135,DEEPAKFERT,2004-01-09,2004-05-17,-25.87,-35.86,2004-01-09,42.71,2004-05-17,31.66,NIFTY,2004-05-17,Bottom,129.0,1388.75
